,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,latitude,location,location_type,longitude,park_borough,park_facility_name,resolution_action_updated_date,resolution_description,school_address,school_city,school_code,school_name,school_not_found,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,taxi_pick_up_location,unique_key,x_coordinate_state_plane,y_coordinate_state_plane
90,30,15310,54,3,ADDRESS,NYPD,New York City Police Department,QUEENS,RIDGEWOOD,,05 QUEENS,Noise - Residential,2017-11-23T01:20:23.000,CYPRESS AVENUE,SENECA AVENUE,Loud Talking,2017-11-23T09:20:23.000,Precinct,1715 GREENE AVENUE,11385,,,40.70459940233796,"{u'type': u'Point', u'coordinates': [-73.913009968199, 40.704599402338]}",Residential Building/House,-73.91300996819946,QUEENS,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,GREENE AVENUE,,37762149,1008369,195993
91,33,14787,53,3,ADDRESS,NYPD,New York City Police Department,QUEENS,WOODSIDE,,02 QUEENS,Noise - Residential,2017-11-23T01:20:18.000,37 AVENUE,38 AVENUE,Banging/Pounding,2017-11-23T09:20:18.000,Precinct,37-32 60 STREET,11377,,,40.7490261876067,"{u'type': u'Point', u'coordinates': [-73.902875326141, 40.749026187607]}",Residential Building/House,-73.9028753261409,QUEENS,Unspecified,2017-11-23T02:18:43.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,60 STREET,,37759790,1011161,212182
92,2,11275,29,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,12 BRONX,Noise - Residential,2017-11-23T01:19:19.000,CARPENTER AVENUE,WHITE PLAINS ROAD,Loud Music/Party,2017-11-23T09:19:19.000,Precinct,634 EAST 233 STREET,10466,,,40.894053593243704,"{u'type': u'Point', u'coordinates': [-73.859469403468, 40.894053593244]}",Residential Building/House,-73.85946940346797,BRONX,Unspecified,2017-11-23T02:20:29.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,EAST 233 STREET,,37760741,1023103,265037
93,42,10934,34,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,03 BRONX,Noise - Residential,2017-11-23T01:17:27.000,EAST 170 STREET,BEND,Loud Music/Party,2017-11-23T09:17:27.000,Precinct,1413 FULTON AVENUE,10456,,,40.83494076183305,"{u'type': u'Point', u'coordinates': [-73.901669389281, 40.834940761833]}",Residential Building/House,-73.90166938928107,BRONX,Unspecified,2017-11-23T02:07:08.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,FULTON AVENUE,,37759359,1011460,243484
94,14,10692,30,1,ADDRESS,NYPD,New York City Police Department,STATEN ISLAND,STATEN ISLAND,,02 STATEN ISLAND,Noise - Residential,2017-11-23T01:17:22.000,MALLORY AVENUE,NORWAY AVENUE,Loud Music/Party,2017-11-23T09:17:22.000,Precinct,555 MCCLEAN AVENUE,10305,,,40.59426757108711,"{u'type': u'Point', u'coordinates': [-74.07904348616, 40.594267571087]}",Residential Building/House,-74.07904348615968,STATEN ISLAND,Unspecified,2017-11-23T02:36:16.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,MCCLEAN AVENUE,,37763307,962298,155794
95,29,10931,6,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,05 BRONX,Noise - Residential,2017-11-23T01:16:48.000,WEST 174 STREET,WEST 175 STREET,Loud Music/Party,2017-11-23T09:16:48.000,Precinct,1480 POPHAM AVENUE,10453,,,40.847883810504094,"{u'type': u'Point', u'coordinates': [-73.921891297415, 40.847883810504]}",Residential Building/House,-73.92189129741487,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,POPHAM AVENUE,,37762358,1005860,248194
96,13,10700,30,1,ADDRESS,NYPD,New York City Police Department,STATEN ISLAND,STATEN ISLAND,,02 STATEN ISLAND,Noise - Residential,2017-11-23T01:16:13.000,LA GUARDIA AVENUE,FRANKLIN PLACE,Loud Music/Party,2017-11-23T09:16:13.000,Precinct,231 WESTWOOD AVENUE,10314,,,40.606618515407824,"{u'type': u'Point', u'coordinates': [-74.118187427337, 40.606618515408]}",Residential Building/House,-74.11818742733689,STATEN ISLAND,Unspecified,2017-11-23T02:36:23.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,WESTWOOD AVENUE,,37764270,951433,160306
97,44,18180,10,2,INTERSECTION,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,10 BROOKLYN,Illegal Parking,2017-11-23T01:16:03.000,,,Commercial Overnight Parking,2017-11-23T09:16:03.000,Precinct,,11220,EIRIK PLACE,67 STREET,40.63316261012508,"{u'type': u'Point', u'coordinates': [-74.016385716492, 40.633162610125]}",Street/Sidewalk,-74.01638571649183,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,,,37760130,979702,169955
98,32,11727,56,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,2017-11-23T01:46:44.000,01 MANHATTAN,Noise - Residential,2017-11-23T01:15:25.000,EDGAR STREET,RECTOR STREET,Loud Television,2017-11-23T09:15:25.000,Precinct,88 GREENWICH STREET,10006,,,40.70773029611131,"{u'type': u'Point', u'coordinates': [-74.013706106959, 40.707730296111]}",Residential Building/House,-74.01370610695912,MANHATTAN,Unspecified,2017-11-23T01:46:44.000,The Police Department responded to the complaint and took action to fix the condition.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GREENWICH STREET,,37763671,980450,197122
99,5,14781,65,3,ADDRESS,NYPD,New York City Police Department,QUEENS,EAST ELMHURST,,03 QUEENS,Illegal Parking,2017-11-23T01:14:52.000,31 AVENUE,32 AVENUE,Blocked Hydrant,2017-11-23T09:14:52.000,Precinct,31-34 80 STREET,11370,,,40.75842422687452,"{u'type': u'Point', u'coordinates': [-73.887795077446, 40.758424226875]}",Street/Sidewalk,-73.88779507744597,QUEENS,Unspecified,2017-11-23T01:54:53.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,80 STREET,,37760087,1015335,215611
100,50,11724,57,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,02 MANHATTAN,Noise - Residential,2017-11-23T01:13:07.000,5 AVENUE,UNIVERSITY PLACE,Loud Music/Party,2017-11-23T09:13:07.000,Precinct,15 EAST 9 STREET,10003,,,40.73247500689774,"{u'type': u'Point', u'coordinates': [-73.995009846069, 40.732475006898]}",Residential Building/House,-73.9950098460694,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,EAST 9 STREET,,37764116,985633,206137
101,44,13511,10,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,10 BROOKLYN,Blocked Driveway,2017-11-23T01:12:33.000,13 AVENUE,14 AVENUE,No Access,2017-11-23T09:12:33.000,Precinct,1311 73 STREET,11228,,,40.62117713829707,"{u'type': u'Point', u'coordinates': [-74.005723884794, 40.621177138297]}",Street/Sidewalk,-74.00572388479445,BROOKLYN,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,73 STREET,,37761075,982661,165588
102,35,10933,49,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,01 BRONX,Noise - Residential,2017-11-23T01:12:19.000,CAULDWELL AVENUE,TRINITY AVENUE,Loud Music/Party,2017-11-23T09:12:19.000,Precinct,674 EAST 149 STREET,10455,,,40.81344553828488,"{u'type': u'Point', u'coordinates': [-73.9101185096, 40.813445538285]}",Residential Building/House,-73.91011850960015,BRONX,Unspecified,2017-11-23T01:30:28.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,EAST 149 STREET,,37762798,1009130,235650
103,45,18184,21,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,13 BROOKLYN,Noise - Residential,2017-11-23T01:11:27.000,DEAD END,SURF AVENUE,Loud Music/Party,2017-11-23T09:11:27.000,Precinct,2970 WEST 27 STREET,11224,,,40.57358775088775,"{u'type': u'Point', u'coordinates': [-73.99285474116, 40.573587750888]}",Residential Building/House,-73.99285474116026,BROOKLYN,Unspecified,2017-11-23T02:15:40.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,WEST 27 STREET,,37762269,986235,148250
104,49,17618,16,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,08 BROOKLYN,Noise - Commercial,2017-11-23T01:11:00.000,BERGEN STREET,ST MARKS AVENUE,Loud Music/Party,2017-11-23T09:11:00.000,Precinct,637 NOSTRAND AVENUE,11216,,,40.67543076864702,"{u'type': u'Point', u'coordinates': [-73.949968094626, 40.675430768647]}",Club/Bar/Restaurant,-73.94996809462631,BROOKLYN,Unspecified,2017-11-23T01:28:27.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,NOSTRAND AVENUE,,37760295,998128,185358
105,37,17214,42,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,2017-11-23T02:20:18.000,04 BROOKLYN,Noise - Residential,2017-11-23T01:10:46.000,EVERGREEN AVENUE,CENTRAL AVENUE,Loud Music/Party,2017-11-23T09:10:46.000,Precinct,162 WEIRFIELD STREET,11221,,,40.689988378083484,"{u'type': u'Point', u'coordinates': [-73.912192458584, 40.689988378083]}",Residential Building/House,-73.91219245858423,BROOKLYN,Unspecified,2017-11-23T01:54:54.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEIRFIELD STREET,,37761781,1008601,190670
106,23,12422,20,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,07 MANHATTAN,Noise - Residential,2017-11-23T01:10:25.000,COLUMBUS AVENUE,AMSTERDAM AVENUE,Loud Music/Party,2017-11-23T09:10:25.000,Precinct,120 WEST 105 STREET,10025,,,40.798895029547076,"{u'type': u'Point', u'coordinates': [-73.964170845645, 40.798895029547]}",Residential Building/House,-73.9641708456449,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,WEST 105 STREET,,37762359,994170,230338
107,22,10935,6,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,05 BRONX,Noise - Residential,2017-11-23T01:10:01.000,ANTHONY AVENUE,BEND,Loud Music/Party,2017-11-23T09:10:01.000,Precinct,325 EAST 176 STREET,10457,,,40.84750182328002,"{u'type': u'Point', u'coordinates': [-73.903168890576, 40.84750182328]}",Residential Building/House,-73.90316889057628,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,EAST 176 STREET,,37759419,1011040,248060
108,47,20529,51,3,ADDRESS,NYPD,New York City Police Department,QUEENS,FAR ROCKAWAY,,14 QUEENS,Blocked Driveway,2017-11-23T01:09:14.000,HEYSON ROAD,NEW HAVEN AVENUE,Partial Access,2017-11-23T09:09:14.000,Precinct,299 BEACH 15 STREET,11691,,,40.59792662973167,"{u'type': u'Point', u'coordinates': [-73.749061039339, 40.597926629732]}",Street/Sidewalk,-73.7490610393393,QUEENS,Unspecified,,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,BEACH 15 STREET,,37761587,1053937,157217
109,32,11723,70,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,03 MANHATTAN,Illegal Parking,2017-11-23T01:09:13.000,RUTGERS SLIP,CLINTON STREET,Commercial Overnight Parking,2017-11-23T09:09:13.000,Precinct,275 SOUTH STREET,10002,,,40.710357183607535,"{u'type': u'Point', u'coordinates': [-73.987609912432, 40.710357183608]}",Street/Sidewalk,-73.98760991243229,MANHATTAN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,SOUTH STREET,,37759189,987685,198079
110,28,24014,46,3,ADDRESS,NYPD,New York City Police Department,QUEENS,RICHMOND HILL,2017-11-23T01:59:01.000,09 QUEENS,Blocked Driveway,2017-11-23T01:09:00.000,117 STREET,118 STREET,No Access,2017-11-23T09:09:00.000,Precinct,117-01 ATLANTIC AVENUE,11418,,,40.6936368220914,"{u'type': u'Point', u'coordinates': [-73.829582449027, 40.693636822091]}",Street/Sidewalk,-73.82958244902687,QUEENS,Unspecified,2017-11-23T01:59:01.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ATLANTIC AVENUE,,37762733,1031508,192033
111,4,16859,39,3,ADDRESS,NYPD,New York City Police Department,QUEENS,ASTORIA,2017-11-23T01:19:21.000,01 QUEENS,Noise - Street/Sidewalk,2017-11-23T01:08:47.000,ASTORIA BOULEVARD,28 AVENUE,Loud Talking,2017-11-23T09:08:47.000,Precinct,25-65 32 STREET,11102,,,40.76873461089535,"{u'type': u'Point', u'coordinates': [-73.91852196834, 40.768734610895]}",Street/Sidewalk,-73.9185219683401,QUEENS,Unspecified,2017-11-23T01:19:21.000,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,32 STREET,,37764276,1006819,219358
112,24,14509,25,3,ADDRESS,NYPD,New York City Police Department,QUEENS,FLUSHING,2017-11-23T02:10:09.000,08 QUEENS,Noise - Residential,2017-11-23T01:08:29.000,KISSENA BOULEVARD,PARSONS BOULEVARD,Loud Talking,2017-11-23T09:08:29.000,Precinct,155-21 JEWEL AVENUE,11367,,,40.73217418417491,"{u'type': u'Point', u'coordinates': [-73.812460399287, 40.732174184175]}",Residential Building/House,-73.81246039928678,QUEENS,Unspecified,2017-11-23T02:10:09.000,The Police Department responded to the complaint and a report was prepared.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,JEWEL AVENUE,,37760743,1036226,206083
113,22,10935,6,5,ADDRESS,NYPD,New York City Police Department,BRONX,BRONX,,05 BRONX,Noise - Residential,2017-11-23T01:07:38.000,EAST BURNSIDE AVENUE,EAST 180 STREET,Loud Music/Party,2017-11-23T09:07:38.000,Precinct,2055 ANTHONY AVENUE,10457,,,40.852348279231805,"{u'type': u'Point', u'coordinates': [-73.90234490958, 40.852348279232]}",Residential Building/House,-73.9023449095804,BRONX,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,ANTHONY AVENUE,,37760920,1011266,249826
114,7,17621,10,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,10 BROOKLYN,Noise - Residential,2017-11-23T01:06:46.000,62 STREET,63 STREET,Banging/Pounding,2017-11-23T09:06:46.000,Precinct,6224 FORT HAMILTON PARKWAY,11219,,,40.63196133126944,"{u'type': u'Point', u'coordinates': [-74.007259591964, 40.631961331269]}",Residential Building/House,-74.0072595919643,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,FORT HAMILTON PARKWAY,,37760642,982235,169517
115,17,13516,55,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,16 BROOKLYN,Noise - Street/Sidewalk,2017-11-23T01:05:52.000,SARATOGA AVENUE,BROADWAY,Loud Music/Party,2017-11-23T09:05:52.000,Precinct,897 HALSEY STREET,11233,,,40.68563299617429,"{u'type': u'Point', u'coordinates': [-73.916651204511, 40.685632996174]}",Street/Sidewalk,-73.91665120451118,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,HALSEY STREET,,37761838,1007366,189082
116,28,14785,40,3,ADDRESS,NYPD,New York City Police Department,QUEENS,REGO PARK,,06 QUEENS,Noise - Residential,2017-11-23T01:04:10.000,AUSTIN STREET,WETHEROLE STREET,Banging/Pounding,2017-11-23T09:04:10.000,Precinct,94-19 66 AVENUE,11374,,,40.72512447911726,"{u'type': u'Point', u'coordinates': [-73.857635689301, 40.725124479117]}",Residential Building/House,-73.8576356893014,QUEENS,Unspecified,2017-11-23T01:34:32.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,66 AVENUE,,37759801,1023710,203491
117,39,13092,47,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2017-11-23T01:02:16.000,NAGLE AVENUE,POST AVENUE,Banging/Pounding,2017-11-23T09:02:16.000,Precinct,541 ACADEMY STREET,10034,,,40.862974825408074,"{u'type': u'Point', u'coordinates': [-73.922842470947, 40.862974825408]}",Residential Building/House,-73.92284247094732,MANHATTAN,Unspecified,2017-11-23T01:57:56.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,ACADEMY STREET,,37761770,1005592,253692
118,10,11722,12,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,2017-11-23T01:37:35.000,04 MANHATTAN,Noise - Residential,2017-11-23T01:02:15.000,DEAD END,10 AVENUE,Loud Music/Party,2017-11-23T09:02:15.000,Precinct,426 WEST 27 STREET,10001,,,40.74965725327792,"{u'type': u'Point', u'coordinates': [-74.000956422174, 40.749657253278]}",Residential Building/House,-74.00095642217364,MANHATTAN,Unspecified,2017-11-23T01:37:35.000,The Police Department responded to the complaint and a report was prepared.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 27 STREET,,37760942,983985,212397
119,45,18184,21,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,13 BROOKLYN,Noise - Residential,2017-11-23T01:02:08.000,BEACH 48 STREET,BEACH 49 STREET,Loud Talking,2017-11-23T09:02:08.000,Precinct,4807 SURF AVENUE,11224,,,40.57771015485622,"{u'type': u'Point', u'coordinates': [-74.010860743822, 40.577710154856]}",Residential Building/House,-74.01086074382178,BROOKLYN,Unspecified,2017-11-23T02:15:34.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,SURF AVENUE,,37759163,981233,149752
120,44,17216,10,2,LATLONG,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,10 BROOKLYN,Illegal Parking,2017-11-23T01:01:39.000,,,Posted Parking Sign Violation,2017-11-23T09:01:39.000,Precinct,73 STREET,11209,,,40.63410610941276,"{u'type': u'Point', u'coordinates': [-74.032595355216, 40.634106109413]}",Street/Sidewalk,-74.03259535521642,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,73 STREET,,37760384,975203,170300
121,24,14509,25,3,ADDRESS,NYPD,New York City Police Department,QUEENS,FLUSHING,2017-11-23T01:50:50.000,08 QUEENS,Noise - Residential,2017-11-23T01:00:25.000,MELBOURNE AVENUE,JEWEL AVENUE,Loud Music/Party,2017-11-23T09:00:25.000,Precinct,69-01 KISSENA BOULEVARD,11367,,,40.733769916408455,"{u'type': u'Point', u'coordinates': [-73.814790470398, 40.733769916408]}",Residential Building/House,-73.81479047039782,QUEENS,Unspecified,2017-11-23T01:50:50.000,The Police Department responded to the complaint and a report was prepared.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,KISSENA BOULEVARD,,37760423,1035579,206663
122,39,13092,47,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2017-11-23T00:58:27.000,NAGLE AVENUE,POST AVENUE,Banging/Pounding,2017-11-23T08:58:27.000,Precinct,541 ACADEMY STREET,10034,,,40.862974825408074,"{u'type': u'Point', u'coordinates': [-73.922842470947, 40.862974825408]}",Residential Building/House,-73.92284247094732,MANHATTAN,Unspecified,2017-11-23T01:57:57.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,ACADEMY STREET,,37763304,1005592,253692
123,45,17616,1,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,2017-11-23T01:21:23.000,11 BROOKLYN,Noise - Residential,2017-11-23T00:57:44.000,21 AVENUE,BAY PARKWAY,Loud Television,2017-11-23T08:57:44.000,Precinct,2155 82 STREET,11214,,,40.604840022350764,"{u'type': u'Point', u'coordinates': [-73.992484062659, 40.604840022351]}",Residential Building/House,-73.99248406265946,BROOKLYN,Unspecified,2017-11-23T01:21:23.000,The Police Department responded to the complaint and took action to fix the condition.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,82 STREET,,37764152,986337,159636
124,15,13512,32,2,ADDRESS,NYPD,New York City Police Department,BROOKLYN,BROOKLYN,,15 BROOKLYN,Illegal Parking,2017-11-23T00:57:22.000,GRAVESEND NECK ROAD,AVENUE X,Commercial Overnight Parking,2017-11-23T08:57:22.000,Precinct,2348 EAST 13 STREET,11229,,,40.593125745761,"{u'type': u'Point', u'coordinates': [-73.957227522491, 40.593125745761]}",Street/Sidewalk,-73.95722752249078,BROOKLYN,Unspecified,,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,EAST 13 STREET,,37762191,996129,155371
125,15,13826,32,2,ADDRESS,DCA,Department of Consumer Affairs,BROOKLYN,BROOKLYN,,15 BROOKLYN,Consumer Complaint,2017-11-23T00:56:51.000,SHEEPSHEAD BAY ROAD,EAST 19 STREET,Unlicensed,2017-11-27T00:56:51.000,N/A,1811 EMMONS AVENUE,11235,,,40.583477692070524,"{u'type': u'Point', u'coordinates': [-73.950216989407, 40.583477692071]}",,-73.95021698940697,BROOKLYN,Unspecified,,The Department of Consumer Affairs usually requires 4 days to review a complaint and determine the appropriate action. Please note your Service Request number for future reference.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Open,EMMONS AVENUE,,37761190,998078,151857
126,36,13097,18,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,10 MANHATTAN,Noise - Residential,2017-11-23T00:56:05.000,7 AVENUE,8 AVENUE,Loud Music/Party,2017-11-23T08:56:05.000,Precinct,201 WEST 148 STREET,10039,,,40.82377864256834,"{u'type': u'Point', u'coordinates': [-73.938157140678, 40.823778642568]}",Residential Building/House,-73.93815714067765,MANHATTAN,Unspecified,2017-11-23T00:59:58.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,WEST 148 STREET,,37762177,1001366,239408
127,39,13092,47,4,ADDRESS,NYPD,New York City Police Department,MANHATTAN,NEW YORK,,12 MANHATTAN,Noise - Residential,2017-11-23T00:55:57.000,NAGLE AVENUE,POST AVENUE,Banging/Pounding,2017-11-23T08:55:57.000,Precinct,541 ACADEMY STREET,10034,,,40.862974825408074,"{u'type': u'Point', u'coordinates': [-73.922842470947, 40.862974825408]}",Residential Building/House,-73.92284247094732,MANHATTAN,Unspecified,2017-11-23T01:57:57.000,Your complaint has been received by the Police Department and additional information will be available later.,Unspecified,Unspecified,Unspecified,Unspecified,N,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Assigned,ACADEMY STREET,,37762676,1005592,253692
